Shelter No,Address,Full_Address,Geolocation,Active?,Label,Shelter Type,Area (Sqm),Capacity (People),Operator,All Data,Community Notes,Latitude,Longitude
609,Yisa Bracha St 23,"Yisa Bracha St 23, Jerusalem, Israel","31.7922354, 35.2176755",Yes, Yisa Bracha St 23 (Most Protected),Most Protected,250,200.0,"Emergency and Security Division, Jerusalem Municipality","Address: Yisa Bracha St 23
Shelter No: 609
Active?: Yes
Shelter Type: Most Protected
Area: 250
Capacity: 200.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7922354,35.2176755
610,10 Aharon Fishel St.,"10 Aharon Fishel St., Jerusalem, Israel","31.7924974, 35.218937",Yes, 10 Aharon Fishel St. (Normal),Normal,40,32.0,"""Poteah Shearim"" organization","Address: 10 Aharon Fishel St.
Shelter No: 610
Active?: Yes
Shelter Type: Normal
Area: 40
Capacity: 32.0
Operator: ""Poteah Shearim"" organization",,31.7924974,35.218937
,,", Jerusalem, Israel","31.768319, 35.21371",Yes,  (Normal),Normal,,,,,,31.768319,35.21371
,,", Jerusalem, Israel","31.768319, 35.21371",Yes,  (Most Protected),Most Protected,,,,,,31.768319,35.21371
611,11 Ben Tsiyon Gol St.,"11 Ben Tsiyon Gol St., Jerusalem, Israel","31.7931357, 35.2208882",Yes, 11 Ben Tsiyon Gol St. (Most Protected),Most Protected,150,120.0,"Emergency and Security Division, Jerusalem Municipality","Address: 11 Ben Tsiyon Gol St.
Shelter No: 611
Active?: Yes
Shelter Type: Most Protected
Area: 150
Capacity: 120.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7931357,35.2208882
612,16 Yoel St.,"16 Yoel St., Jerusalem, Israel","31.7898417, 35.2208909",Yes, 16 Yoel St. (Most Protected),Most Protected,50,40.0,Karlin Hasidic community,"Address: 16 Yoel St.
Shelter No: 612
Active?: Yes
Shelter Type: Most Protected
Area: 50
Capacity: 40.0
Operator: Karlin Hasidic community",,31.7898417,35.2208909
620,27 Yehezkhel St.,"27 Yehezkhel St., Jerusalem, Israel","31.7911551, 35.2196628",Yes, 27 Yehezkhel St. (Most Protected),Most Protected,50,40.0,"""Kfar Yeladim David"" organization","Address: 27 Yehezkhel St.
Shelter No: 620
Active?: Yes
Shelter Type: Most Protected
Area: 50
Capacity: 40.0
Operator: ""Kfar Yeladim David"" organization",,31.7911551,35.2196628
910,Ovadya St 22,"Ovadya St 22, Jerusalem, Israel","31.791622, 35.2148846",Yes, Ovadya St 22 (Normal),Normal,100,80.0,"Karlin Hassidic community's ""Beit Bracha""","Address: Ovadya St 22
Shelter No: 910
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Karlin Hassidic community's ""Beit Bracha""",,31.791622,35.2148846
639,2 Michel Pines St.,"2 Michel Pines St., Jerusalem, Israel","31.7864599, 35.2152906",Yes, 2 Michel Pines St. (Normal),Normal,250,200.0,"""Degel Yerushalayim""","Address: 2 Michel Pines St.
Shelter No: 639
Active?: Yes
Shelter Type: Normal
Area: 250
Capacity: 200.0
Operator: ""Degel Yerushalayim""",,31.7864599,35.2152906
652,26 HaNevi'im St.,"26 HaNevi'im St., Jerusalem, Israel","31.7839236, 35.2257588",Yes, 26 HaNevi'im St. (Normal),Normal,40,32.0,"""United Hatzalah"" organization, Jerusalem","Address: 26 HaNevi'im St.
Shelter No: 652
Active?: Yes
Shelter Type: Normal
Area: 40
Capacity: 32.0
Operator: ""United Hatzalah"" organization, Jerusalem",,31.7839236,35.2257588
932,38 HaGilboa St.,"38 HaGilboa St., Jerusalem, Israel","31.7830058, 35.212869",Yes, 38 HaGilboa St. (Normal),Normal,100,80.0,Lev Ha'Ir Community Administration,"Address: 38 HaGilboa St.
Shelter No: 932
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Lev Ha'Ir Community Administration",,31.7830058,35.212869
973,5 HaRav Aviyada St.,"5 HaRav Aviyada St., Jerusalem, Israel","31.787357, 35.196903",Yes, 5 HaRav Aviyada St. (Normal),Normal,100,80.0,"Drama school, Youth Promotion Department, Education Division, Municipality of Jerusalem","Address: 5 HaRav Aviyada St.
Shelter No: 973
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Drama school, Youth Promotion Department, Education Division, Municipality of Jerusalem",,31.787357,35.196903
974,9 Shmuel Hanagid St.,"9 Shmuel Hanagid St., Jerusalem, Israel","31.77967319999999, 35.2147312",Yes, 9 Shmuel Hanagid St. (Normal),Normal,100,80.0,"Youth Promotion Department, Education Division, Jerusalem Municipality","Address: 9 Shmuel Hanagid St.
Shelter No: 974
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Youth Promotion Department, Education Division, Jerusalem Municipality",,31.77967319999999,35.2147312
985,13 Strauss St.,"13 Strauss St., Jerusalem, Israel","31.78526159999999, 35.2187319",Yes, 13 Strauss St. (Normal),Normal,50,40.0,"""Helek MiMeni Bracha VeHesed"" organization (assistance to the needy)","Address: 13 Strauss St.
Shelter No: 985
Active?: Yes
Shelter Type: Normal
Area: 50
Capacity: 40.0
Operator: ""Helek MiMeni Bracha VeHesed"" organization (assistance to the needy)",,31.78526159999999,35.2187319
903,82 Homat HaTzalafim St.,"82 Homat HaTzalafim St., Jerusalem, Israel","31.768319, 35.21371",Yes, 82 Homat HaTzalafim St. (Normal),Normal,120,96.0,"Artists' studio, Ein Kerem Community Center","Address: 82 Homat HaTzalafim St.
Shelter No: 903
Active?: Yes
Shelter Type: Normal
Area: 120
Capacity: 96.0
Operator: Artists' studio, Ein Kerem Community Center",,31.768319,35.21371
672,10 Ruth St.,"10 Ruth St., Jerusalem, Israel","31.7648535, 35.2173875",Yes, 10 Ruth St. (Normal),Normal,150,120.0,"Emergency and Security Division, Jerusalem Municipality","Address: 10 Ruth St.
Shelter No: 672
Active?: Yes
Shelter Type: Normal
Area: 150
Capacity: 120.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7648535,35.2173875
,,", Jerusalem, Israel","31.768319, 35.21371",Yes,  (Normal),Normal,,,,,,31.768319,35.21371
,,", Jerusalem, Israel","31.768319, 35.21371",Yes,  (Normal),Normal,,,,,,31.768319,35.21371
670,9 Bostanai St.,"9 Bostanai St., Jerusalem, Israel","31.7654554, 35.2129114",Yes, 9 Bostanai St. (Normal),Normal,140,112.0,"Emergency and Security Division, Jerusalem Municipality","Address: 9 Bostanai St.
Shelter No: 670
Active?: Yes
Shelter Type: Normal
Area: 140
Capacity: 112.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7654554,35.2129114
673,3 Malal St.,"3 Malal St., Jerusalem, Israel","31.7634619, 35.2185825",Yes, 3 Malal St. (Normal),Normal,114,91.0,"Emergency and Security Division, Jerusalem Municipality","Address: 3 Malal St.
Shelter No: 673
Active?: Yes
Shelter Type: Normal
Area: 114
Capacity: 91.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7634619,35.2185825
674,7 Bachar St.,"7 Bachar St., Jerusalem, Israel","31.782932, 35.20998",Yes, 7 Bachar St. (Normal),Normal,150,120.0,"Emergency and Security Division, Jerusalem Municipality","Address: 7 Bachar St.
Shelter No: 674
Active?: Yes
Shelter Type: Normal
Area: 150
Capacity: 120.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.782932,35.20998
676,6 Emile Zola St.,"6 Emile Zola St., Jerusalem, Israel","31.7643611, 35.2210073",Yes, 6 Emile Zola St. (Normal),Normal,100,80.0,"Emergency and Security Division, Jerusalem Municipality","Address: 6 Emile Zola St.
Shelter No: 676
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7643611,35.2210073
677,6 Wyndham Deedes St.,"6 Wyndham Deedes St., Jerusalem, Israel","31.763875, 35.2213078",Yes, 6 Wyndham Deedes St. (Normal),Normal,290,232.0,"Emergency and Security Division, Jerusalem Municipality","Address: 6 Wyndham Deedes St.
Shelter No: 677
Active?: Yes
Shelter Type: Normal
Area: 290
Capacity: 232.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.763875,35.2213078
692,60 Emek Refaim St.,"60 Emek Refaim St., Jerusalem, Israel","31.7612795, 35.2165345",Yes, 60 Emek Refaim St. (Normal),Normal,250,200.0,"Emergency and Security Division, Jerusalem Municipality","Address: 60 Emek Refaim St.
Shelter No: 692
Active?: Yes
Shelter Type: Normal
Area: 250
Capacity: 200.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7612795,35.2165345
693,9 Yotam St.,"9 Yotam St., Jerusalem, Israel","31.7625105, 35.2147674",Yes, 9 Yotam St. (Normal),Normal,170,136.0,"Emergency and Security Division, Jerusalem Municipality","Address: 9 Yotam St.
Shelter No: 693
Active?: Yes
Shelter Type: Normal
Area: 170
Capacity: 136.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7625105,35.2147674
697,27 Yehoshua Bin Nun St.,"27 Yehoshua Bin Nun St., Jerusalem, Israel","31.7605694, 35.2152704",Yes, 27 Yehoshua Bin Nun St. (Normal),Normal,160,128.0,"Emergency and Security Division, Jerusalem Municipality","Address: 27 Yehoshua Bin Nun St.
Shelter No: 697
Active?: Yes
Shelter Type: Normal
Area: 160
Capacity: 128.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7605694,35.2152704
804,8 HaMelits St.,"8 HaMelits St., Jerusalem, Israel","31.7647172, 35.2196378",Yes, 8 HaMelits St. (Normal),Normal,100,80.0,"Emergency and Security Division, Jerusalem Municipality","Address: 8 HaMelits St.
Shelter No: 804
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7647172,35.2196378
998,6 Aba Berdichev St.,"6 Aba Berdichev St., Jerusalem, Israel","31.805540, 35.241570",Yes, 6 Aba Berdichev St. (Normal),Normal,100,80.0,"Emergency and Security Division, Jerusalem Municipality","Address: 6 Aba Berdichev St.
Shelter No: 998
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.80554,35.24157
694,1 Amatsiya St.,"1 Amatsiya St., Jerusalem, Israel","31.761730, 35.215180",Yes, 1 Amatsiya St. (Normal),Normal,200,160.0,"Emergency and Security Division, Jerusalem Municipality","Address: 1 Amatsiya St.
Shelter No: 694
Active?: Yes
Shelter Type: Normal
Area: 200
Capacity: 160.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.76173,35.21518
,,", Jerusalem, Israel","31.768319, 35.21371",Yes,  (Normal),Normal,,,,,,31.768319,35.21371
,,", Jerusalem, Israel","31.768319, 35.21371",Yes,  (Most Protected),Most Protected,,,,,,31.768319,35.21371
695,2 Amatsiya St.,"2 Amatsiya St., Jerusalem, Israel","31.768319, 35.21371",Yes, 2 Amatsiya St. (Most Protected),Most Protected,250,200.0,Chabad synagogue,"Address: 2 Amatsiya St.
Shelter No: 695
Active?: Yes
Shelter Type: Most Protected
Area: 250
Capacity: 200.0
Operator: Chabad synagogue",,31.768319,35.21371
614,16 Shlomo Musayof St.,"16 Shlomo Musayof St., Jerusalem, Israel","31.7921348, 35.2217038",Yes, 16 Shlomo Musayof St. (Most Protected),Most Protected,40,32.0,"""Hesdei Yehezkel VeMiriam"" volunteer center","Address: 16 Shlomo Musayof St.
Shelter No: 614
Active?: Yes
Shelter Type: Most Protected
Area: 40
Capacity: 32.0
Operator: ""Hesdei Yehezkel VeMiriam"" volunteer center",,31.7921348,35.2217038
621,8 Hoshe'a St.,"8 Hoshe'a St., Jerusalem, Israel","31.7895088, 35.2196259",Yes, 8 Hoshe'a St. (Normal),Normal,100,80.0,"Emergency and Security Division, Jerusalem Municipality","Address: 8 Hoshe'a St.
Shelter No: 621
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7895088,35.2196259
623,14 Zechariah HaRofeh St.,"14 Zechariah HaRofeh St., Jerusalem, Israel","31.78467939999999, 35.2185026",Yes, 14 Zechariah HaRofeh St. (Most Protected),Most Protected,40,32.0,"MeTeiman Yavo"" yeshiva","Address: 14 Zechariah HaRofeh St.
Shelter No: 623
Active?: Yes
Shelter Type: Most Protected
Area: 40
Capacity: 32.0
Operator: MeTeiman Yavo"" yeshiva",,31.78467939999999,35.2185026
635,15 Avodat Yisrael St.,"15 Avodat Yisrael St., Jerusalem, Israel","31.7874772, 35.2210223",Yes, 15 Avodat Yisrael St. (Normal),Normal,,32.0,"Emergency and Security Division, Jerusalem Municipality","Address: 15 Avodat Yisrael St.
Shelter No: 635
Active?: Yes
Shelter Type: Normal
Area: nan
Capacity: 32.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7874772,35.2210223
637,18 Nahman MiBreslev St.,"18 Nahman MiBreslev St., Jerusalem, Israel","31.7875368, 35.2199891",Yes, 18 Nahman MiBreslev St. (Normal),Normal,100,80.0,"Emergency and Security Division, Jerusalem Municipality","Address: 18 Nahman MiBreslev St.
Shelter No: 637
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7875368,35.2199891
830,25 Tsfanya St.,"25 Tsfanya St., Jerusalem, Israel","31.791313, 35.2172062",Yes, 25 Tsfanya St. (Normal),Normal,100,80.0,Bucharim Community Administration,"Address: 25 Tsfanya St.
Shelter No: 830
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Bucharim Community Administration",,31.791313,35.2172062
904,7 HaZayit St.,"7 HaZayit St., Jerusalem, Israel","31.79017869999999, 35.2112935",Yes, 7 HaZayit St. (Normal),Normal,125,100.0,"Sanitation Division, Jerusalem Municipality","Address: 7 HaZayit St.
Shelter No: 904
Active?: Yes
Shelter Type: Normal
Area: 125
Capacity: 100.0
Operator: Sanitation Division, Jerusalem Municipality",,31.79017869999999,35.2112935
715,52 David Shimoni St.,"52 David Shimoni St., Jerusalem, Israel","31.7613455, 35.2011204",Yes, 52 David Shimoni St. (Normal),Normal,180,144.0,"Emergency and Security Division, Jerusalem Municipality","Address: 52 David Shimoni St.
Shelter No: 715
Active?: Yes
Shelter Type: Normal
Area: 180
Capacity: 144.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7613455,35.2011204
949,33 HaTayasim St.,"33 HaTayasim St., Jerusalem, Israel","31.7654279, 35.2072491",Yes, 33 HaTayasim St. (Normal),Normal,100,80.0,Ginot Ha'Ir Community Administration,"Address: 33 HaTayasim St.
Shelter No: 949
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Ginot Ha'Ir Community Administration",,31.7654279,35.2072491
808,27 Yisrael Najara St.,"27 Yisrael Najara St., Jerusalem, Israel","31.7961216, 35.2252486",Yes, 27 Yisrael Najara St. (Normal),Normal,100,80.0,Meitarim Community Administration,"Address: 27 Yisrael Najara St.
Shelter No: 808
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Meitarim Community Administration",,31.7961216,35.2252486
700,15 David Shimoni St.,"15 David Shimoni St., Jerusalem, Israel","31.7651489, 35.2049945",Yes, 15 David Shimoni St. (Most Protected),Most Protected,85,67.0,"Emergency and Security Division, Jerusalem Municipality","Address: 15 David Shimoni St.
Shelter No: 700
Active?: Yes
Shelter Type: Most Protected
Area: 85
Capacity: 67.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7651489,35.2049945
726,123 HaNurit St.,"123 HaNurit St., Jerusalem, Israel","31.752843, 35.1721424",Yes, 123 HaNurit St. (Normal),Normal,350,280.0,"Emergency and Security Division, Jerusalem Municipality","Address: 123 HaNurit St.
Shelter No: 726
Active?: Yes
Shelter Type: Normal
Area: 350
Capacity: 280.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.752843,35.1721424
727,104 HaNurit St.,"104 HaNurit St., Jerusalem, Israel","31.7543807, 35.1705897",Yes, 104 HaNurit St. (Normal),Normal,120,148.0,"Emergency and Security Division, Jerusalem Municipality","Address: 104 HaNurit St.
Shelter No: 727
Active?: Yes
Shelter Type: Normal
Area: 120
Capacity: 148.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7543807,35.1705897
728,102 HaNurit St.,"102 HaNurit St., Jerusalem, Israel","31.7546412, 35.1701886",No ⚠️,INACTIVE! 102 HaNurit St. (Normal),Normal,183,148.0,"Emergency and Security Division, Jerusalem Municipality","Address: 102 HaNurit St.
Shelter No: 728
Active?: No ⚠️
Shelter Type: Normal
Area: 183
Capacity: 148.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7546412,35.1701886
829,9 HaRakefet St.,"9 HaRakefet St., Jerusalem, Israel","31.7534184, 35.166039",Yes, 9 HaRakefet St. (Normal),Normal,100,32.0,"""Chai Tayeb"" synagogue","Address: 9 HaRakefet St.
Shelter No: 829
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 32.0
Operator: ""Chai Tayeb"" synagogue",,31.7534184,35.166039
840,70 Costa Rica St.,"70 Costa Rica St., Jerusalem, Israel","31.7528615, 35.1670549",Yes, 70 Costa Rica St. (Normal),Normal,100,32.0,"""Beit Chabad"" building","Address: 70 Costa Rica St.
Shelter No: 840
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 32.0
Operator: ""Beit Chabad"" building",,31.7528615,35.1670549
901,13 Iceland St,"13 Iceland St, Jerusalem, Israel","31.7591071, 35.1665208",Yes, 13 Iceland St (Normal),Normal,150,120.0,"""David Moshe"" synagogue","Address: 13 Iceland St
Shelter No: 901
Active?: Yes
Shelter Type: Normal
Area: 150
Capacity: 120.0
Operator: ""David Moshe"" synagogue",,31.7591071,35.1665208
902,29 HaNurit St.,"29 HaNurit St., Jerusalem, Israel","31.7546734, 35.1690152",Yes, 29 HaNurit St. (Normal),Normal,250,200.0,"Emergency and Security Division, Jerusalem Municipality","Address: 29 HaNurit St.
Shelter No: 902
Active?: Yes
Shelter Type: Normal
Area: 250
Capacity: 200.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7546734,35.1690152
